"Sample","Traverse","hc.nm.","Pmax.µN.","S.µN.nm.","A.nm.2.","hmax.nm.","heff.nm.","Er.GPa.","E.GPa.","H.GPa.","A","hf.nm.","m","X.mm.","Y.mm.","PERCENTDIST","ABSDIST","Drift.nm.s.","Species","Macaca"
"MacacaA","Basin",327.01016,16379.50801,185.885832,3425501.401,392.493773,393.097128,88.985458,90.44285285,4.781638,5.431611,250.724802,1.615738,-56.178003,5.337,0,0,0.022812,"Macaca mulatta","Macaca"
"MacacaA","Basin",325.033312,15847.611,176.827728,3387795.038,391.277397,392.249627,85.119023,86.19797607,4.677854,7.152497,252.492956,1.559406,-56.178003,5.357,1.960784314,20,-0.064434,"Macaca mulatta","Macaca"
"MacacaA","Basin",331.712919,15055.4828,191.170322,3515994.815,390.465427,390.778636,90.329829,91.92609027,4.281998,4.682118,260.23001,1.65767,-56.178003,5.417,7.843137255,80,0.007998,"Macaca mulatta","Macaca"
"MacacaA","Basin",333.667831,15244.15072,196.107725,3553940.942,391.36081,391.967998,92.166782,93.95890545,4.289365,2.86779,256.18634,1.746757,-56.178003,5.4375,9.852941176,100.5,-0.039846,"Macaca mulatta","Macaca"
"MacacaA","Basin",330.542435,15887.11638,192.706622,3493367.272,391.681436,392.373924,91.350166,93.0543453,4.547794,3.871014,253.373149,1.686044,-56.178003,5.457,11.76470588,120,-0.066216,"Macaca mulatta","Macaca"
"MacacaA","Basin",331.86387,16138.91674,202.795199,3518917.994,393.413628,391.550626,95.782887,97.98133754,4.586329,1.613482,244.649609,1.8459,-56.178003,5.4775,13.7745098,140.5,-0.078416,"Macaca mulatta","Macaca"
"MacacaA","Basin",329.289785,14692.35556,191.764216,3469227.924,395.03695,386.752365,91.219142,92.9093412,4.235051,2.037722,248.643562,1.802592,-56.178003,5.497,15.68627451,160,-0.073598,"Macaca mulatta","Macaca"
"MacacaA","Basin",339.519571,15842.34534,198.97872,3668679.433,398.21289,399.233288,92.042113,93.82071981,4.318269,3.339179,262.24868,1.720517,-56.178003,5.517,17.64705882,180,-0.100956,"Macaca mulatta","Macaca"
"MacacaA","Basin",332.934235,15749.20625,197.578151,3539678.757,391.952892,392.717691,93.044739,94.9329768,4.449332,1.864913,247.873371,1.817112,-56.178003,5.537,19.60784314,200,-0.067327,"Macaca mulatta","Macaca"
"MacacaA","Basin",333.247293,15974.22617,202.072242,3545761.745,391.890412,392.536335,95.079461,97.19670304,4.505161,2.053398,249.777995,1.805878,-56.178003,5.557,21.56862745,220,-0.084274,"Macaca mulatta","Macaca"
"MacacaA","Basin",332.852008,16313.64514,203.91815,3538081.826,392.093296,392.852718,96.05208,98.28188609,4.610873,4.994369,260.378006,1.655914,-56.178003,5.577,23.52941176,240,-0.08925,"Macaca mulatta","Macaca"
"MacacaA","Basin",339.860023,16306.41622,208.686645,3675408.036,401.107329,398.463736,96.444331,98.72010225,4.436627,2.936272,261.517044,1.75262,-56.178003,5.597,25.49019608,260,-0.13347,"Macaca mulatta","Macaca"
